level,avg size(KB),var,cov
1,176.7281879194631,129.05412356200176,129.48864923056064
2,258.3334563758389,882.3960514762849,885.367081952636
3,371.8741610738255,2969.6020961082836,2979.60075636454
4,480.9624496644295,6116.319639301158,6136.913308120354
5,459.3829530201342,7297.609643628664,7322.180719869836
