des level,start_time,end_time,time (s)
4,1584329395.0784085,1584329932.4608169,537.38
3,1584329932.4608169,1584330658.0190272,725.56
2,1584330658.0346546,1584331696.6658332,1038.63
1,1584331696.6658332,1584333039.5709789,1342.91
